Timestamp,DA_Price,Capacity_Price
2026-09-15 00:00:00,49.96,16.4
2026-09-15 01:00:00,96.06,24.63
2026-09-15 02:00:00,78.56,9.99
2026-09-15 03:00:00,67.89,17.86
2026-09-15 04:00:00,32.48,19.81
2026-09-15 05:00:00,32.48,6.16
2026-09-15 06:00:00,24.65,20.19
2026-09-15 07:00:00,89.29,9.26
2026-09-15 08:00:00,68.09,6.63
2026-09-15 09:00:00,76.65,28.72
2026-09-15 10:00:00,21.65,29.14
2026-09-15 11:00:00,97.59,25.21
2026-09-15 12:00:00,86.6,12.62
2026-09-15 13:00:00,36.99,7.44
2026-09-15 14:00:00,34.55,22.11
2026-09-15 15:00:00,34.67,16.0
2026-09-15 16:00:00,44.34,8.05
2026-09-15 17:00:00,61.98,17.38
2026-09-15 18:00:00,54.56,5.86
2026-09-15 19:00:00,740.0,27.73
2026-09-15 20:00:00,68.95,11.47
2026-09-15 21:00:00,31.16,21.56
2026-09-15 22:00:00,43.37,12.79
2026-09-15 23:00:00,49.31,18.0
